1687452392,28.6542,77.2373,37.69875000000003째C,38.37625000000003째C,36.73000000000002째C,28.060000000000024째C,30.465000000000025째C,36.73000000000002째C,30.465000000000025째C,39.5%,32.875%,40.5%,75.75%,64.125%,40.5%,30.465000000000025%
1687452402,28.45226431470012,77.31283100585938,37.10000000000002째C,38.08625000000002째C,36.40250000000002째C,27.506250000000016째C,30.238750000000017째C,36.40250000000002째C,30.238750000000017째C,37.75%,33.75%,41.375%,79.5%,66.25%,41.375%,30.238750000000017%
1687452404,28.527097664028627,77.66988666992188,35.59875000000002째C,37.21250000000003째C,33.39125000000003째C,26.25000000000003째C,28.82625000000001째C,33.39125000000003째C,28.82625000000001째C,44.375%,36.375%,54.375%,87.125%,74.0%,54.375%,28.82625000000001%
1687452405,28.283090965044387,77.68361958007813,35.38875000000002째C,37.317500000000024째C,33.92250000000003째C,26.573750000000018째C,29.267500000000013째C,33.92250000000003째C,29.267500000000013째C,45.375%,35.625%,51.125%,85.375%,72.5%,51.125%,29.267500000000013%
1687452408,28.004579411803032,77.37874897460938,36.10000000000002째C,37.533750000000026째C,35.52875000000002째C,27.24875000000003째C,30.152500000000025째C,35.52875000000002째C,30.152500000000025째C,42.375%,35.625%,44.5%,81.5%,67.875%,44.5%,30.152500000000025%
1687452418,28.88122829596782,76.96676166992188,37.70500000000002째C,38.22750000000002째C,36.656250000000014째C,28.430000000000014째C,30.50000000000002째C,36.656250000000014째C,30.50000000000002째C,35.625%,33.5%,40.75%,73.875%,62.875%,40.75%,30.50000000000002%
1687452420,28.876418244815785,77.80446918945313,35.16625000000002째C,36.53250000000002째C,30.977500000000028째C,25.631250000000023째C,27.847500000000018째C,30.977500000000028째C,27.847500000000018째C,45.5%,39.125%,65.375%,89.75%,76.25%,65.375%,27.847500000000018%
1687452459,28.809054155046,77.43917377929688,36.93250000000002째C,37.43500000000002째C,34.39625000000004째C,26.876250000000013째C,29.255000000000024째C,34.39625000000004째C,29.255000000000024째C,39.0%,36.25%,51.25%,82.625%,70.0%,51.25%,29.255000000000024%
1692864741,25.5908,85.1348,27.63500000000002캜,27.180000000000035캜,30.788750000000014캜,31.096250000000026캜,31.476250000000014캜,30.788750000000014캜,31.476250000000014캜,89.625%,85.0%,66.0%,59.375%,57.0%,66.0%,31.476250000000014%
1692864840,25.5908,85.1348,27.63500000000002캜,27.180000000000035캜,30.788750000000014캜,31.096250000000026캜,31.476250000000014캜,30.788750000000014캜,31.476250000000014캜,89.625%,85.0%,66.0%,59.375%,57.0%,66.0%,31.476250000000014%
